RK	PICK	PLAYER	TEAM	CONF	MIN%	OR	DR	AST	BLK	STL	FTR	2P	3P	YEAR
1	46	Fr	7-0	A.J. Hammons (13)	Purdue	B10	57.4	11.6	17.3	6.2	8.7	0.9	41.0	140-283	.495	0-0	.000	2013
2	46	So	7-0	A.J. Hammons (14)	Purdue	B10	59.6	10.1	22.8	4.2	13.2	0.9	62.2	114-220	.518	0-5	.000	2014
3	46	Jr	7-0	A.J. Hammons (15)	Purdue	B10	60.1	12.2	19.7	9.1	12.3	1.3	46.7	157-284	.553	0-7	.000	2015
4	46	Sr	7-0	A.J. Hammons (16)	Purdue	B10	57.5	11.5	24.8	10.5	10.4	0.7	37.8	193-325	.594	6-11	.545	2016
5	52	Jr	6-2	A.J. Price (08)	Connecticut	BE	79.7	2.8	8.1	36.1	0.3	2.3	38.8	108-225	.480	52-141	.369	2008
6	52	Sr	6-2	A.J. Price (09)	Connecticut	BE	73.0	2.1	9.2	28.5	0.0	1.2	30.3	87-206	.422	78-196	.398	2009
7	4	Fr	6-8	Aaron Gordon (14)	Arizona	P12	77.1	10.4	19.3	13.0	3.4	1.8	47.1	173-337	.513	16-45	.356	2014
8	23	Fr	6-1	Aaron Holiday (16)	UCLA	P12	78.2	2.0	7.8	21.1	0.8	2.5	30.4	75-196	.383	39-93	.419	2016
9	23	So	6-1	Aaron Holiday (17)	UCLA	P12	65.8	1.5	9.5	24.4	0.6	2.2	35.9	97-180	.539	53-129	.411	2017
10	23	Jr	6-1	Aaron Holiday (18)	UCLA	P12	92.1	1.6	8.7	29.9	0.7	1.9	41.7	124-255	.486	88-205	.429	2018
11	14	Fr	6-6	Aaron Nesmith (19)	Vanderbilt	SEC	72.2	4.2	17.3	10.8	2.1	1.4	27.5	55-116	.474	59-175	.337	2019
12	49	Fr	6-8	Aaron White (12)	Iowa	B10	59.6	10.1	17.8	7.7	3.0	2.2	53.0	119-209	.569	17-61	.279	2012
13	49	So	6-8	Aaron White (13)	Iowa	B10	72.4	9.0	13.8	9.8	2.5	2.3	85.7	125-230	.543	14-64	.219	2013
14	49	Jr	6-9	Aaron White (14)	Iowa	B10	69.3	6.8	19.0	12.2	2.3	2.0	65.7	135-214	.631	8-31	.258	2014
15	49	Sr	6-9	Aaron White (15)	Iowa	B10	78.1	7.7	18.5	10.2	1.7	2.6	72.6	150-269	.558	21-59	.356	2015
16	58	Fr	6-7	Abdel Nader (12)	Northern Illinois	MAC	61.2	4.0	17.4	12.6	4.1	1.7	26.8	74-214	.346	34-114	.298	2012
17	58	So	6-7	Abdel Nader (13)	Northern Illinois	MAC	41.5	6.3	22.0	13.0	3.1	3.3	21.6	63-170	.371	26-94	.277	2013
18	58	Sr	6-6	Abdel Nader (16)	Iowa St.	B12	76.9	2.9	14.3	8.0	2.2	1.9	31.5	109-197	.553	52-140	.371	2016
19	42	Fr	6-4	Admiral Schofield (16)	Tennessee	SEC	44.0	7.3	14.8	9.7	1.7	1.1	18.8	67-124	.540	25-83	.301	2016
20	42	So	6-4	Admiral Schofield (17)	Tennessee	SEC	42.8	5.1	20.1	8.4	1.0	0.9	39.5	57-118	.483	21-54	.389	2017
21	42	Jr	6-5	Admiral Schofield (18)	Tennessee	SEC	69.6	6.7	19.4	11.8	1.8	2.1	22.7	113-234	.483	64-162	.395	2018
22	42	Sr	6-6	Admiral Schofield (19)	Tennessee	SEC	78.2	4.5	16.3	11.7	1.7	1.6	17.6	159-317	.502	73-173	.422	2019
23	15	So	6-10	Adreian Payne (12)	Michigan St.	B10	44.5	11.0	16.9	3.6	6.9	2.3	51.4	97-171	.567	1-2	.500	2012
24	15	Jr	6-10	Adreian Payne (13)	Michigan St.	B10	64.6	9.9	24.0	6.0	5.5	1.8	41.6	117-201	.582	16-42	.381	2013
25	15	Sr	6-10	Adreian Payne (14)	Michigan St.	B10	56.7	6.8	22.9	10.2	3.8	1.0	39.0	134-250	.536	44-104	.423	2014
26	56	Jr	6-9	Ahmad Nivins (08)	Saint Joseph's	A10	81.2	8.7	13.0	3.0	4.2	1.2	77.3	165-255	.647	0-0	.000	2008
27	56	Sr	6-9	Ahmad Nivins (09)	Saint Joseph's	A10	96.5	12.5	22.6	6.1	4.6	1.3	77.0	205-334	.614	0-1	.000	2009
28	8	Fr	6-9	Al-Farouq Aminu (09)	Wake Forest	ACC	72.5	9.1	19.9	9.0	4.2	1.8	53.7	139-244	.570	7-39	.179	2009
29	8	So	6-9	Al-Farouq Aminu (10)	Wake Forest	ACC	76.4	14.6	20.5	9.1	4.5	2.6	53.2	149-308	.484	18-66	.273	2010
30	50	Fr	7-1	Alec Brown (11)	Green Bay	Horz	62.9	9.1	18.1	3.6	9.1	0.9	54.6	110-221	.498	2-6	.333	2011
31	50	So	7-1	Alec Brown (12)	Green Bay	Horz	78.8	11.0	18.5	6.6	9.4	1.6	38.2	136-296	.459	4-18	.222	2012
